"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Rigoberto Uran","Cannondale Pro Cycling Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Tom Dumoulin","Team Giant - Alpecin",14,150,NA,NA,NA,NA,NA,NA,NA,150,1,"Ben Neal","Cooper`s Crankers"
"Mikel Landa","Team Sky",24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Tim Wellens","Lotto Soudal",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Marcel Kittel","Etixx - Quick Step",14,80,NA,NA,NA,NA,NA,NA,NA,80,1,"Ben Neal","Cooper`s Crankers"
"Joey Rosskopf","BMC Racing Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Omar Fraile","Dimension Data",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Joe Dombrowski","Cannondale Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Bob Jungels","Etixx - Quick Step",8,60,NA,NA,NA,NA,NA,NA,NA,60,1,"Ben Neal","Cooper`s Crankers"
"Rigoberto Uran","Cannondale Pro Cycling Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Tom Dumoulin","Team Giant - Alpecin",14,NA,25,NA,NA,NA,NA,NA,6,31,2,"Ben Neal","Cooper`s Crankers"
"Mikel Landa","Team Sky",24,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Tim Wellens","Lotto Soudal",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Marcel Kittel","Etixx - Quick Step",14,150,20,10,NA,NA,NA,NA,2,182,2,"Ben Neal","Cooper`s Crankers"
"Joey Rosskopf","BMC Racing Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Omar Fraile","Dimension Data",4,NA,NA,1,10,9,NA,10,NA,30,2,"Ben Neal","Cooper`s Crankers"
"Joe Dombrowski","Cannondale Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Bob Jungels","Etixx - Quick Step",8,NA,14,NA,NA,NA,NA,NA,10,24,2,"Ben Neal","Cooper`s Crankers"
"Rigoberto Uran","Cannondale Pro Cycling Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Tom Dumoulin","Team Giant - Alpecin",14,NA,22,NA,NA,NA,NA,NA,6,28,3,"Ben Neal","Cooper`s Crankers"
"Mikel Landa","Team Sky",24,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Ben Neal","Cooper`s Crankers"
"Tim Wellens","Lotto Soudal",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Marcel Kittel","Etixx - Quick Step",14,150,25,10,NA,NA,NA,NA,2,187,3,"Ben Neal","Cooper`s Crankers"
"Joey Rosskopf","BMC Racing Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Omar Fraile","Dimension Data",4,NA,NA,NA,6,NA,NA,NA,NA,6,3,"Ben Neal","Cooper`s Crankers"
"Joe Dombrowski","Cannondale Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Bob Jungels","Etixx - Quick Step",8,NA,15,NA,NA,NA,NA,NA,14,29,3,"Ben Neal","Cooper`s Crankers"
"Rigoberto Uran","Cannondale Pro Cycling Team",18,NA,9,NA,NA,NA,NA,NA,NA,9,4,"Ben Neal","Cooper`s Crankers"
"Tom Dumoulin","Team Giant - Alpecin",14,120,25,2,NA,NA,NA,NA,NA,147,4,"Ben Neal","Cooper`s Crankers"
"Mikel Landa","Team Sky",24,NA,5,NA,NA,NA,NA,NA,2,7,4,"Ben Neal","Cooper`s Crankers"
"Tim Wellens","Lotto Soudal",8,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Ben Neal","Cooper`s Crankers"
"Marcel Kittel","Etixx - Quick Step",14,NA,NA,10,NA,NA,NA,NA,8,18,4,"Ben Neal","Cooper`s Crankers"
"Joey Rosskopf","BMC Racing Team",4,NA,NA,NA,2,6,NA,10,NA,18,4,"Ben Neal","Cooper`s Crankers"
"Omar Fraile","Dimension Data",4,NA,NA,NA,1,NA,NA,NA,NA,1,4,"Ben Neal","Cooper`s Crankers"
"Joe Dombrowski","Cannondale Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Ben Neal","Cooper`s Crankers"
"Bob Jungels","Etixx - Quick Step",8,NA,22,NA,NA,NA,NA,NA,4,26,4,"Ben Neal","Cooper`s Crankers"
