"","rider","Times_Selected","Ben Neal","Brendan Smith","edmund g","Lee Taylor","Simon Lyons","Stew Ralph"
"1","Adam Yates",5,"Yes","Yes","","Yes","Yes","Yes"
"2","Ilnur Zakarin",4,"","Yes","Yes","Yes","","Yes"
"3","André Greipel",3,"","","","Yes","Yes","Yes"
"4","Nairo Quintana",3,"","Yes","Yes","","Yes",""
"5","Thibaut Pinot",3,"Yes","","Yes","","","Yes"
"6","Vincenzo Nibali",3,"Yes","","","Yes","","Yes"
"7","Alexander Foliforov",2,"","","","","Yes","Yes"
"8","Caleb Ewan",2,"Yes","","","Yes","",""
"9","Fernando Gaviria",2,"","Yes","Yes","","",""
"10","Pierre Rolland",2,"Yes","","Yes","","",""
"11","Vincenzo Albanese",2,"Yes","Yes","","","",""
"12","Bauke Mollema",1,"","Yes","","","",""
"13","Chad Haga",1,"","","Yes","","",""
"14","Domenico Pozzovivo",1,"","","","","Yes",""
"15","Georg Preidler",1,"","","","","Yes",""
"16","Geraint Thomas",1,"","","","Yes","",""
"17","Jasper De Buyst",1,"","","Yes","","",""
"18","José Mendes",1,"","","","Yes","",""
"19","Kanstantsin Siutsou",1,"","","","","Yes",""
"20","Luis Leon Sanchez",1,"","","","","","Yes"
"21","Marcin Bialoblocki",1,"","","","Yes","",""
"22","Mikel Landa",1,"","","Yes","","",""
"23","Nathan Haas",1,"Yes","","","","",""
"24","Pavel Brutt",1,"","","","Yes","",""
"25","Peter Stetina",1,"","","Yes","","",""
"26","Rohan Dennis",1,"","Yes","","","",""
"27","Rory Sutherland",1,"","","","","Yes",""
"28","Rui Costa",1,"","","","","","Yes"
"29","Sebastien Reichenbach",1,"","Yes","","","",""
"30","Steven Kruijswijk",1,"","","","","Yes",""
"31","Tom Dumoulin",1,"Yes","","","","",""
"32","Vasil Kiryienka",1,"","","","","","Yes"
"33","Victor Campenaerts",1,"","Yes","","","",""
"34","William Bonnet",1,"Yes","","","","",""
