"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,120,20,4,NA,4,NA,NA,NA,148,1,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,6,6,1,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,2,NA,15,NA,10,NA,27,1,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,30,16,NA,NA,NA,NA,NA,4,50,2,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,7,NA,NA,NA,NA,NA,NA,7,2,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,4,NA,NA,NA,NA,NA,NA,4,2,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,2,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,200,25,10,NA,3,NA,NA,NA,238,2,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,25,12,NA,NA,NA,NA,NA,6,43,2,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,6,6,2,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,NA,18,NA,NA,NA,NA,NA,4,22,3,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,100,25,6,NA,6,NA,NA,NA,137,3,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,1,NA,NA,NA,NA,NA,6,7,3,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,6,6,3,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,NA,16,NA,NA,NA,NA,NA,4,20,4,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,3,NA,NA,NA,NA,NA,NA,3,4,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,4,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,120,25,10,NA,6,NA,NA,NA,161,4,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,30,9,NA,NA,NA,NA,NA,6,45,4,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,6,6,4,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,40,16,NA,NA,NA,NA,NA,4,60,5,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,15,7,NA,NA,NA,NA,NA,NA,22,5,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,5,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,NA,NA,10,NA,NA,NA,NA,2,12,5,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,4,4,5,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,NA,16,NA,NA,NA,NA,NA,4,20,6,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,7,NA,NA,NA,NA,NA,NA,7,6,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,6,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,70,NA,4,NA,6,NA,NA,NA,80,6,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,6,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,25,15,NA,NA,NA,NA,NA,4,44,7,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,7,NA,NA,NA,NA,NA,NA,7,7,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,4,4,7,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,NA,NA,4,NA,NA,NA,NA,NA,4,7,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,8,8,7,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,8,8,7,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,200,25,NA,4,NA,25,NA,4,258,8,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,NA,5,NA,NA,NA,5,8,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,100,12,NA,NA,NA,NA,NA,NA,112,8,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,4,NA,16,20,8,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,NA,NA,4,NA,NA,NA,NA,NA,4,8,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,4,4,8,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,4,4,8,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,8,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,8,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,25,25,NA,NA,NA,NA,NA,4,54,9,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,200,NA,NA,4,NA,30,10,NA,244,9,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,15,NA,NA,NA,NA,NA,NA,15,9,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,10,10,9,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,NA,NA,6,NA,15,NA,10,2,33,9,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,4,4,9,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,4,4,9,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,9,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,9,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,NA,25,NA,NA,NA,NA,NA,2,27,10,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,4,NA,10,NA,NA,14,10,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,14,NA,NA,NA,NA,NA,NA,14,10,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,8,8,10,"Jackal","Team Tarmac"
"Peter Sagan","Tinkoff",20,150,NA,10,NA,15,NA,10,NA,185,10,"Jackal","Team Tarmac"
"Simon Gerrans","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,10,10,10,"Jackal","Team Tarmac"
"Michael Albasini","Orica GreenEDGE",6,NA,NA,NA,NA,NA,NA,NA,10,10,10,"Jackal","Team Tarmac"
"Adam Hansen","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"Jackal","Team Tarmac"
"Leigh Howard","IAM Cycling",4,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"Jackal","Team Tarmac"
"Christopher Froome","Team Sky",26,150,25,NA,NA,NA,NA,NA,2,177,11,"Jackal","Team Tarmac"
"Tom Dumoulin","Team Giant - Alpecin",12,NA,NA,NA,4,NA,NA,NA,NA,4,11,"Jackal","Team Tarmac"
"Romain Bardet","AG2R La Mondiale",14,NA,15,NA,NA,NA,NA,NA,NA,15,11,"Jackal","Team Tarmac"
"Mikel Nieve","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,12,12,11,"Jackal","Team Tarmac"
