"rider","Team
","Cost
","Stg
","GC
","PC
","KOM
","Spr
","Sum
","Bky
","Ass
","Tot

","stage","directeur","team"
"Christopher Froome","Team Sky",22,20,NA,NA,NA,NA,NA,NA,NA,20,1,"Lee Taylor","Stinkys Strokers"
"Simon Yates","ORICA - BikeExchange",12,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Lee Taylor","Stinkys Strokers"
"Johan Esteban Chaves","ORICA - BikeExchange",18,12,NA,NA,NA,NA,NA,NA,NA,12,1,"Lee Taylor","Stinkys Strokers"
"Yuri Trofimov","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Gianni Meersman","Etixx - Quick Step",10,8,NA,NA,NA,NA,NA,NA,NA,8,1,"Lee Taylor","Stinkys Strokers"
"Rubén Fernández","Movistar Team",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Lee Taylor","Stinkys Strokers"
"Peter Kennaugh","Team Sky",6,20,20,NA,NA,NA,NA,NA,NA,40,1,"Lee Taylor","Stinkys Strokers"
"Dmitriy Gruzdev","Astana Pro Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Steven Kruijswijk","Team LottoNL-Jumbo",16,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Lee Taylor","Stinkys Strokers"
"Christopher Froome","Team Sky",22,NA,18,NA,NA,NA,NA,NA,12,30,2,"Lee Taylor","Stinkys Strokers"
"Simon Yates","ORICA - BikeExchange",12,NA,5,NA,NA,NA,NA,NA,4,9,2,"Lee Taylor","Stinkys Strokers"
"Johan Esteban Chaves","ORICA - BikeExchange",18,NA,6,NA,NA,NA,NA,NA,4,10,2,"Lee Taylor","Stinkys Strokers"
"Yuri Trofimov","Tinkoff",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Gianni Meersman","Etixx - Quick Step",10,200,NA,10,NA,NA,NA,NA,NA,210,2,"Lee Taylor","Stinkys Strokers"
"Rubén Fernández","Movistar Team",4,NA,12,NA,NA,NA,NA,NA,10,22,2,"Lee Taylor","Stinkys Strokers"
"Peter Kennaugh","Team Sky",6,NA,15,NA,NA,NA,NA,NA,12,27,2,"Lee Taylor","Stinkys Strokers"
"Dmitriy Gruzdev","Astana Pro Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Steven Kruijswijk","Team LottoNL-Jumbo",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Christopher Froome","Team Sky",22,100,20,NA,NA,NA,NA,NA,4,124,3,"Lee Taylor","Stinkys Strokers"
