"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"EdG","Bad Hombres"
"Bob Jungels","Quick-Step Floors",10,15,NA,NA,NA,NA,NA,NA,NA,15,1,"EdG","Bad Hombres"
"Rafal Majka","Bora - Hansgrohe",14,6,NA,NA,NA,NA,NA,NA,NA,6,1,"EdG","Bad Hombres"
"Emanuel Buchmann","Bora - Hansgrohe",8,6,NA,NA,NA,NA,NA,NA,NA,6,1,"EdG","Bad Hombres"
"Magnus Cort Nielsen","ORICA-Scott",10,8,NA,NA,NA,NA,NA,NA,NA,8,1,"EdG","Bad Hombres"
"Larry Warbasse","Aqua Blue Sport",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"EdG","Bad Hombres"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"EdG","Bad Hombres"
"Rohan Dennis","BMC Racing Team",8,20,20,NA,NA,NA,NA,NA,NA,40,1,"EdG","Bad Hombres"
"Alberto Contador","Trek - Segafredo",18,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"EdG","Bad Hombres"
"Miguel Ángel López","Astana Pro Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Rui Costa","UAE Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Marc Soler","Movistar Team",12,2,NA,NA,NA,NA,NA,NA,NA,2,1,"Lee Taylor","Stinkys Strokers"
"Domenico Pozzovivo","AG2R La Mondiale",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Sacha Modolo","UAE Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Rohan Dennis","BMC Racing Team",8,20,20,NA,NA,NA,NA,NA,NA,40,1,"Lee Taylor","Stinkys Strokers"
"Eros Capecchi","Quick-Step Floors",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Lee Taylor","Stinkys Strokers"
"Lachlan Morton","Dimension Data",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Simon Lyons","Brake Rub Regression"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"George Bennett","Team LottoNL-Jumbo",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Rafal Majka","Bora - Hansgrohe",14,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Simon Lyons","Brake Rub Regression"
"Jens Debusschere","Lotto Soudal",6,4,NA,NA,NA,NA,NA,NA,NA,4,1,"Simon Lyons","Brake Rub Regression"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Eros Capecchi","Quick-Step Floors",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Simon Lyons","Brake Rub Regression"
"Peter Stetina","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Bob Jungels","Quick-Step Floors",10,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Simon Lyons","Brake Rub Regression"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Brendan Smith","The Banditos"
"Steven Kruijswijk","Team LottoNL-Jumbo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Banditos"
"Emanuel Buchmann","Bora - Hansgrohe",8,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Brendan Smith","The Banditos"
"Ilnur Zakarin","Team Katusha - Alpecin",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Banditos"
"Magnus Cort Nielsen","ORICA-Scott",10,8,NA,NA,NA,NA,NA,NA,NA,8,1,"Brendan Smith","The Banditos"
"Eros Capecchi","Quick-Step Floors",4,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Brendan Smith","The Banditos"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Banditos"
"Jesús Hernández","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Brendan Smith","The Banditos"
"Rafal Majka","Bora - Hansgrohe",14,6,NA,NA,NA,NA,NA,NA,NA,6,1,"Brendan Smith","The Banditos"
"Christopher Froome","Team Sky",26,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Ben Neal","Cooper`s Crankers"
"Steven Kruijswijk","Team LottoNL-Jumbo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Jarlinson Pantano","Trek - Segafredo",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Ilnur Zakarin","Team Katusha - Alpecin",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Matteo Trentin","Quick-Step Floors",10,15,NA,NA,NA,NA,NA,NA,NA,15,1,"Ben Neal","Cooper`s Crankers"
"Salvatore Puccio","Team Sky",6,10,NA,NA,NA,NA,NA,NA,NA,10,1,"Ben Neal","Cooper`s Crankers"
"Fernando Orjuela","Manzana Postobon",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Peter Koning","Aqua Blue Sport",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooper`s Crankers"
"Johan Esteban Chaves","ORICA-Scott",14,8,NA,NA,NA,NA,NA,NA,NA,8,1,"Ben Neal","Cooper`s Crankers"
