"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Tom Dumoulin","Team Sunweb",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Adam Yates","ORICA-Scott",12,NA,NA,NA,NA,NA,NA,NA,8,8,1,"Dave Hazzard","Sandbaggers"
"Diego Rosa","Team Sky",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Caleb Ewan","ORICA-Scott",12,120,22,6,NA,NA,NA,NA,NA,148,1,"Dave Hazzard","Sandbaggers"
"Rohan Dennis","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Rory Sutherland","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Giovanni Visconti","Bahrain Merida Pro Cycling Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dave Hazzard","Sandbaggers"
"Bob Jungels","Quick-Step Floors",10,5,5,NA,NA,NA,NA,NA,NA,10,1,"Dave Hazzard","Sandbaggers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,15,8,NA,NA,NA,NA,NA,NA,23,2,"Dave Hazzard","Sandbaggers"
"Tom Dumoulin","Team Sunweb",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Dave Hazzard","Sandbaggers"
"Adam Yates","ORICA-Scott",12,NA,4,NA,NA,NA,NA,NA,8,12,2,"Dave Hazzard","Sandbaggers"
"Diego Rosa","Team Sky",8,NA,2,NA,NA,NA,NA,NA,NA,2,2,"Dave Hazzard","Sandbaggers"
"Caleb Ewan","ORICA-Scott",12,40,20,3,NA,NA,NA,NA,6,69,2,"Dave Hazzard","Sandbaggers"
"Rohan Dennis","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Dave Hazzard","Sandbaggers"
"Rory Sutherland","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Dave Hazzard","Sandbaggers"
"Giovanni Visconti","Bahrain Merida Pro Cycling Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Dave Hazzard","Sandbaggers"
"Bob Jungels","Quick-Step Floors",10,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Dave Hazzard","Sandbaggers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,NA,9,NA,NA,NA,NA,NA,2,11,3,"Dave Hazzard","Sandbaggers"
"Tom Dumoulin","Team Sunweb",16,NA,2,NA,NA,NA,NA,NA,NA,2,3,"Dave Hazzard","Sandbaggers"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Dave Hazzard","Sandbaggers"
"Diego Rosa","Team Sky",8,NA,5,NA,NA,NA,NA,NA,NA,5,3,"Dave Hazzard","Sandbaggers"
