"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Geraint Thomas","Team Sky",12,200,NA,NA,NA,NA,NA,NA,NA,200,1,"Chris Fraser","Gears n Beers"
"Rafal Majka","Bora - Hansgrohe",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Louis Meintjes","UAE Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Peter Sagan","Bora - Hansgrohe",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Thomas De Gendt","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Tony Martin","Team Katusha - Alpecin",8,100,NA,NA,NA,NA,NA,NA,NA,100,1,"Chris Fraser","Gears n Beers"
"Christian Knees","Team Sky",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Koen De Kort","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Gears n Beers"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Geraint Thomas","Team Sky",12,200,NA,NA,NA,NA,NA,NA,NA,200,1,"David Leggett","Legless"
"Romain Bardet","AG2R La Mondiale",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Johan Esteban Chaves","ORICA-Scott",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Peter Sagan","Bora - Hansgrohe",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Christian Knees","Team Sky",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Mathew Hayman","ORICA-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Andrey Zeits","Astana Pro Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
"Robert Wagner","Team LottoNL-Jumbo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Legless"
